time,open,high,low,close,volume
1614556800,45201.800,45310.300,45187.500,45303.200,0.00
1614556860,45304.400,45395.600,45300.900,45393.700,0.00
1614556920,45395.600,45407.200,45197.300,45200.800,0.00
1614556980,45200.300,45236.200,45111.700,45111.700,0.00
1614557040,45110.600,45138.300,45059.000,45092.000,0.00
1614557100,45092.400,45096.500,45012.600,45012.600,0.00
1614557160,45017.700,45044.100,45004.700,45023.300,0.00
1614557220,45018.900,45070.300,45018.800,45070.300,0.00
1614557280,45069.200,45263.000,45032.300,45263.000,0.00
1614557340,45263.300,45343.100,45199.900,45331.900,0.00
1614557400,45331.900,45334.000,45243.200,45251.100,0.00
1614557460,45251.100,45323.500,45251.100,45305.500,0.00
1614557520,45306.100,45355.700,45305.100,45344.100,0.00
1614557580,45336.500,45346.200,45303.200,45311.500,0.00
1614557640,45311.800,45493.500,45311.800,45487.800,0.00
1614557700,45487.900,45618.400,45487.900,45618.400,0.00
1614557760,45616.600,45932.800,45616.300,45911.800,0.00
1614557820,45911.800,46187.500,45823.600,46187.500,0.00
1614557880,46187.500,46256.600,46108.600,46232.300,0.00
1614557940,46232.300,46290.000,46167.700,46237.200,0.00
1614558000,46229.700,46368.600,46226.800,46286.400,0.00
1614558060,46286.200,46286.200,46183.500,46202.500,0.00
1614558120,46199.900,46218.600,46114.400,46208.900,0.00
1614558180,46208.900,46210.100,46103.800,46115.400,0.00
1614558240,46116.800,46225.800,46108.800,46209.100,0.00
1614558300,46214.000,46238.000,46145.800,46202.600,0.00
1614558360,46201.500,46218.900,46178.400,46206.000,0.00
1614558420,46208.300,46216.300,46197.800,46214.700,0.00
1614558480,46216.000,46216.000,46170.900,46195.800,0.00
1614558540,46196.000,46217.700,46189.100,46215.900,0.00
1614558600,46216.100,46433.700,46216.000,46433.700,0.00
1614558660,46424.100,46492.300,46407.900,46459.000,0.00
1614558720,46459.000,46481.000,46426.400,46473.900,0.00
1614558780,46476.500,46580.300,46476.500,46577.500,0.00
1614558840,46582.800,46630.000,46502.400,46527.400,0.00
1614558900,46528.100,46573.300,46496.000,46508.900,0.00
1614558960,46507.700,46532.600,46476.000,46496.700,0.00
1614559020,46494.800,46494.800,46392.100,46410.600,0.00
1614559080,46410.600,46468.800,46410.600,46460.900,0.00
1614559140,46460.900,46601.400,46458.300,46532.400,0.00
1614559200,46532.700,46535.700,46445.300,46486.000,0.00
1614559260,46484.300,46484.300,46440.900,46458.600,0.00
1614559320,46459.000,46480.400,46459.000,46465.500,0.00
1614559380,46465.200,46470.900,46396.400,46396.400,0.00
1614559440,46396.400,46409.100,46318.700,46318.700,0.00
1614559500,46320.800,46325.600,46248.700,46282.100,0.00
1614559560,46282.100,46313.400,46214.500,46229.800,0.00
1614559620,46229.800,46294.300,46228.700,46259.400,0.00
1614559680,46259.600,46262.800,46218.200,46218.200,0.00
1614559740,46221.500,46270.300,46206.500,46246.200,0.00
1614559800,46246.900,46247.600,46224.000,46235.500,0.00
1614559860,46234.000,46301.900,46231.300,46291.600,0.00
1614559920,46292.500,46437.900,46290.300,46403.000,0.00
1614559980,46403.000,46407.100,46321.500,46324.800,0.00
1614560040,46325.100,46396.000,46308.900,46389.500,0.00
1614560100,46395.100,46468.600,46340.600,46340.600,0.00
1614560160,46340.300,46350.000,46276.000,46276.000,0.00
1614560220,46275.800,46326.700,46265.400,46309.600,0.00
1614560280,46310.100,46310.100,46266.600,46271.900,0.00
1614560340,46272.300,46309.100,46231.700,46282.700,0.00
1614560400,46279.900,46396.300,46279.800,46341.400,0.00
1614560460,46340.900,46360.300,46273.500,46277.800,0.00
1614560520,46276.500,46278.100,46235.600,46247.400,0.00
1614560580,46247.300,46287.700,46211.400,46242.200,0.00
1614560640,46241.100,46241.600,46186.500,46188.200,0.00
1614560700,46188.300,46192.400,46168.400,46175.300,0.00
1614560760,46175.400,46256.100,46175.300,46187.100,0.00
1614560820,46188.000,46203.000,46178.500,46178.500,0.00
1614560880,46178.800,46215.700,46158.100,46190.800,0.00
1614560940,46190.900,46226.700,46184.400,46184.400,0.00
1614561000,46184.500,46190.000,46159.300,46164.400,0.00
1614561060,46163.400,46164.200,46122.000,46123.300,0.00
1614561120,46122.400,46143.900,46113.300,46137.700,0.00
1614561180,46136.900,46136.900,46044.200,46045.000,0.00
1614561240,46044.600,46115.400,46037.500,46091.500,0.00
1614561300,46091.100,46188.100,46091.100,46168.700,0.00
1614561360,46168.700,46168.700,46090.900,46124.900,0.00
1614561420,46125.300,46147.000,46107.700,46122.300,0.00
1614561480,46122.700,46168.500,46122.000,46168.500,0.00
1614561540,46171.700,46182.400,46158.500,46159.400,0.00
1614561600,46159.600,46160.500,45930.700,45969.500,0.00
1614561660,45969.500,45999.900,45917.700,45957.100,0.00
1614561720,45957.100,46033.100,45944.100,46028.300,0.00
1614561780,46027.200,46109.300,46027.200,46109.000,0.00
1614561840,46109.000,46204.200,46104.400,46183.300,0.00
1614561900,46183.300,46183.300,46127.000,46133.100,0.00
1614561960,46131.200,46142.500,46107.600,46118.900,0.00
1614562020,46118.900,46190.300,46113.500,46173.200,0.00
1614562080,46168.000,46185.600,46130.600,46172.700,0.00
1614562140,46172.800,46207.600,46169.400,46171.300,0.00
1614562200,46170.500,46335.900,46163.000,46334.800,0.00
1614562260,46337.000,46522.800,46316.700,46522.300,0.00
1614562320,46495.500,46534.400,46425.300,46426.400,0.00
1614562380,46428.400,46468.500,46362.900,46368.800,0.00
1614562440,46369.200,46392.700,46327.500,46333.700,0.00
1614562500,46332.000,46332.000,46286.700,46286.700,0.00
1614562560,46285.500,46381.500,46269.900,46335.700,0.00
1614562620,46340.100,46340.300,46240.500,46241.200,0.00
1614562680,46241.200,46257.100,46196.700,46199.300,0.00
1614562740,46191.700,46235.600,46185.500,46235.500,0.00
1614562800,46235.600,46241.100,46184.700,46208.700,0.00
1614562860,46208.500,46249.300,46202.300,46234.800,0.00
1614562920,46235.800,46300.800,46234.800,46265.200,0.00
1614562980,46265.100,46337.400,46256.700,46256.700,0.00
1614563040,46256.100,46320.500,46238.600,46293.900,0.00
1614563100,46290.000,46383.400,46285.900,46354.400,0.00
1614563160,46354.900,46363.100,46299.700,46308.700,0.00
1614563220,46307.600,46363.000,46267.500,46356.800,0.00
1614563280,46357.400,46401.000,46336.200,46401.000,0.00
1614563340,46401.000,46407.000,46346.900,46353.300,0.00
1614563400,46353.300,46418.900,46303.500,46369.500,0.00
1614563460,46367.700,46387.000,46348.200,46348.800,0.00
1614563520,46347.300,46373.000,46339.600,46373.000,0.00
1614563580,46371.700,46375.300,46341.800,46341.800,0.00
1614563640,46341.700,46341.700,46305.800,46305.800,0.00
1614563700,46305.900,46305.900,46110.300,46168.100,0.00
1614563760,46170.100,46185.100,46123.100,46134.900,0.00
1614563820,46134.700,46234.400,46118.300,46219.100,0.00
1614563880,46219.500,46229.000,46181.900,46189.600,0.00
1614563940,46189.500,46241.700,46184.300,46221.200,0.00
1614564000,46221.700,46329.600,46221.200,46304.000,0.00
1614564060,46301.900,46301.900,46169.000,46198.700,0.00
1614564120,46194.300,46318.600,46190.000,46314.300,0.00
1614564180,46314.000,46359.900,46293.900,46355.300,0.00
1614564240,46354.800,46358.400,46267.200,46316.800,0.00
1614564300,46317.600,46335.300,46306.800,46327.800,0.00
1614564360,46326.800,46357.500,46326.800,46357.500,0.00
1614564420,46357.300,46376.600,46344.700,46376.600,0.00
1614564480,46376.600,46379.200,46325.100,46334.800,0.00
1614564540,46334.000,46362.300,46318.500,46350.800,0.00
1614564600,46350.800,46411.600,46349.100,46411.100,0.00
1614564660,46409.100,46413.500,46335.800,46338.400,0.00
1614564720,46338.300,46387.900,46294.400,46384.100,0.00
1614564780,46384.500,46419.900,46384.000,46417.000,0.00
1614564840,46417.100,46442.000,46406.400,46442.000,0.00
1614564900,46439.400,46488.800,46419.500,46488.800,0.00
1614564960,46488.800,46503.600,46394.600,46394.600,0.00
1614565020,46394.600,46426.500,46374.800,46380.800,0.00
1614565080,46380.700,46398.500,46326.000,46339.400,0.00
1614565140,46338.800,46348.100,46314.900,46348.100,0.00
1614565200,46358.000,46455.000,46348.400,46452.600,0.00
1614565260,46453.800,46464.400,46436.100,46456.500,0.00
1614565320,46456.700,46456.700,46430.700,46444.200,0.00
1614565380,46444.600,46510.800,46429.700,46510.600,0.00
1614565440,46511.400,46736.800,46511.100,46706.600,0.00
1614565500,46706.700,46773.800,46706.300,46722.500,0.00
1614565560,46722.200,46805.300,46718.700,46804.400,0.00
1614565620,46804.400,46837.300,46804.400,46832.500,0.00
1614565680,46835.700,46837.000,46742.800,46744.000,0.00
1614565740,46745.300,46775.500,46715.700,46722.800,0.00
