time,open,high,low,close,volume
1659312000,105.854,105.859,105.830,105.842,0.27
1659312060,105.837,105.849,105.837,105.849,0.15
1659312120,105.849,105.874,105.842,105.865,0.23
1659312180,105.869,105.869,105.850,105.850,0.20
1659312240,105.851,105.854,105.838,105.845,0.19
1659312300,105.843,105.855,105.825,105.833,0.28
1659312360,105.828,105.838,105.819,105.838,0.22
1659312420,105.833,105.833,105.804,105.805,0.24
1659312480,105.798,105.809,105.798,105.807,0.18
1659312540,105.803,105.806,105.796,105.806,0.14
1659312600,105.804,105.808,105.783,105.783,0.33
1659312660,105.787,105.794,105.781,105.789,0.24
1659312720,105.783,105.791,105.773,105.774,0.18
1659312780,105.777,105.777,105.745,105.750,0.25
1659312840,105.749,105.762,105.748,105.758,0.21
1659312900,105.755,105.755,105.732,105.743,0.31
1659312960,105.735,105.741,105.713,105.724,0.26
1659313020,105.731,105.731,105.703,105.708,0.24
1659313080,105.708,105.716,105.700,105.714,0.17
1659313140,105.715,105.727,105.711,105.715,0.21
1659313200,105.713,105.713,105.668,105.677,0.27
1659313260,105.675,105.688,105.668,105.688,0.25
1659313320,105.691,105.693,105.648,105.648,0.26
1659313380,105.643,105.663,105.639,105.660,0.26
1659313440,105.657,105.673,105.643,105.673,0.23
1659313500,105.677,105.694,105.673,105.685,0.27
1659313560,105.686,105.690,105.675,105.675,0.25
1659313620,105.677,105.681,105.667,105.673,0.16
1659313680,105.671,105.692,105.671,105.689,0.18
1659313740,105.683,105.691,105.679,105.687,0.15
1659313800,105.690,105.704,105.683,105.698,0.26
1659313860,105.707,105.723,105.707,105.723,0.15
1659313920,105.725,105.734,105.711,105.711,0.19
1659313980,105.703,105.716,105.701,105.716,0.21
1659314040,105.721,105.748,105.716,105.748,0.17
1659314100,105.746,105.764,105.746,105.752,0.17
1659314160,105.752,105.752,105.732,105.738,0.12
1659314220,105.736,105.749,105.730,105.745,0.28
1659314280,105.745,105.745,105.725,105.734,0.24
1659314340,105.732,105.743,105.725,105.730,0.22
1659314400,105.733,105.733,105.703,105.714,0.25
1659314460,105.722,105.725,105.711,105.711,0.15
1659314520,105.718,105.718,105.698,105.705,0.20
1659314580,105.712,105.712,105.697,105.709,0.11
