time,open,high,low,close,volume
1556668800,1.30390,1.30390,1.30383,1.30387,61.94
1556668860,1.30387,1.30392,1.30386,1.30391,24.75
1556668920,1.30394,1.30399,1.30394,1.30397,42.50
1556668980,1.30397,1.30398,1.30387,1.30388,43.66
1556669040,1.30388,1.30389,1.30386,1.30387,22.50
1556669100,1.30388,1.30388,1.30377,1.30388,38.35
1556669160,1.30389,1.30399,1.30388,1.30393,28.87
1556669220,1.30394,1.30394,1.30387,1.30391,38.20
1556669280,1.30390,1.30390,1.30385,1.30386,37.74
1556669340,1.30386,1.30400,1.30386,1.30398,46.08
1556669400,1.30397,1.30398,1.30390,1.30392,42.46
1556669460,1.30397,1.30401,1.30397,1.30399,29.74
1556669520,1.30401,1.30401,1.30398,1.30399,24.86
1556669580,1.30400,1.30408,1.30399,1.30408,37.30
1556669640,1.30408,1.30409,1.30407,1.30408,19.75
1556669700,1.30409,1.30409,1.30400,1.30406,57.88
1556669760,1.30407,1.30407,1.30397,1.30398,63.62
1556669820,1.30397,1.30398,1.30397,1.30397,27.61
1556669880,1.30398,1.30401,1.30390,1.30398,57.05
1556669940,1.30397,1.30410,1.30389,1.30410,51.10
1556670000,1.30410,1.30410,1.30388,1.30388,80.87
1556670060,1.30388,1.30398,1.30388,1.30397,14.68
1556670120,1.30398,1.30399,1.30396,1.30399,28.99
1556670180,1.30408,1.30409,1.30389,1.30400,104.75
1556670240,1.30402,1.30413,1.30397,1.30410,28.61
1556670300,1.30413,1.30425,1.30410,1.30421,57.59
1556670360,1.30422,1.30440,1.30418,1.30429,200.40
1556670420,1.30432,1.30439,1.30428,1.30431,78.36
1556670480,1.30432,1.30433,1.30428,1.30432,15.98
1556670540,1.30431,1.30433,1.30429,1.30432,41.09
1556670600,1.30431,1.30433,1.30417,1.30417,38.26
1556670660,1.30417,1.30419,1.30403,1.30404,89.98
1556670720,1.30403,1.30407,1.30396,1.30399,48.43
1556670780,1.30401,1.30401,1.30400,1.30401,10.87
1556670840,1.30400,1.30400,1.30399,1.30400,12.25
1556670900,1.30401,1.30421,1.30401,1.30421,35.99
1556670960,1.30421,1.30421,1.30417,1.30418,20.49
1556671020,1.30418,1.30418,1.30416,1.30417,19.66
1556671080,1.30417,1.30417,1.30408,1.30408,26.77
1556671140,1.30407,1.30409,1.30406,1.30408,14.87
1556671200,1.30414,1.30417,1.30407,1.30416,48.42
1556671260,1.30416,1.30416,1.30405,1.30406,28.45
1556671320,1.30407,1.30413,1.30406,1.30406,40.76
1556671380,1.30407,1.30408,1.30407,1.30408,5.20
1556671440,1.30407,1.30408,1.30407,1.30408,6.90
1556671500,1.30413,1.30418,1.30413,1.30417,25.17
1556671560,1.30416,1.30427,1.30415,1.30420,23.48
1556671620,1.30420,1.30426,1.30415,1.30415,31.35
1556671680,1.30416,1.30419,1.30412,1.30417,22.14
