time,open,high,low,close,volume
1512111900,6350.469,6351.370,6350.469,6350.670,0.00
1512111960,6350.869,6352.169,6350.869,6352.070,0.00
1512112020,6351.970,6351.970,6350.470,6350.870,0.00
1512112080,6350.969,6351.470,6350.870,6351.470,0.00
1512112140,6351.569,6352.770,6351.569,6352.770,0.00
1512112200,6352.669,6352.669,6351.869,6351.869,0.00
1512112260,6351.969,6351.970,6350.870,6350.870,0.00
1512112320,6350.669,6350.969,6350.470,6350.570,0.00
1512112380,6350.669,6351.470,6350.469,6351.470,0.00
1512112440,6351.470,6351.669,6350.969,6351.669,0.00
1512112500,6351.670,6353.370,6351.670,6353.170,0.00
1512112560,6353.269,6353.269,6352.769,6352.970,0.00
1512112620,6353.070,6353.470,6352.870,6352.969,0.00
1512112680,6352.869,6353.369,6352.669,6353.369,0.00
1512112740,6353.470,6353.669,6352.969,6353.370,0.00
1512112800,6353.170,6353.970,6352.969,6353.970,0.00
1512112860,6354.070,6354.070,6353.370,6353.569,0.00
1512112920,6353.670,6353.770,6353.170,6353.170,0.00
1512112980,6353.370,6353.770,6353.169,6353.669,0.00
1512113040,6353.769,6355.869,6353.669,6355.670,0.00
1512113100,6355.870,6355.870,6355.569,6355.670,0.00
1512113160,6355.769,6356.469,6355.769,6355.970,0.00
1512113220,6356.069,6356.070,6355.470,6355.470,0.00
1512113280,6355.370,6355.969,6355.370,6355.969,0.00
1512113340,6356.170,6356.770,6355.870,6356.470,0.00
1512113400,6356.469,6356.470,6355.869,6356.370,0.00
1512113460,6356.169,6356.169,6355.469,6356.070,0.00
1512113520,6355.970,6356.069,6355.669,6355.669,0.00
1512113580,6355.869,6355.870,6354.570,6355.070,0.00
1512113640,6354.970,6355.870,6354.970,6355.570,0.00
1512113700,6355.469,6356.370,6355.069,6356.370,0.00
1512113760,6356.470,6359.569,6356.470,6359.569,0.00
1512113820,6359.469,6359.569,6358.069,6358.069,0.00
1512113880,6357.969,6358.270,6357.370,6358.070,0.00
1512113940,6358.169,6359.070,6357.870,6359.070,0.01
1512114000,6358.970,6358.970,6358.569,6358.569,0.00
1512114060,6358.370,6358.970,6358.170,6358.970,0.00
1512114120,6358.970,6359.570,6357.869,6358.670,0.00
1512114180,6358.969,6359.570,6358.969,6359.569,0.00
1512114240,6359.469,6361.169,6359.369,6360.369,0.00
1512114300,6360.070,6361.870,6360.070,6361.669,0.00
1512114360,6361.869,6361.869,6361.470,6361.569,0.00
1512114420,6361.670,6361.670,6361.369,6361.370,0.00
1512114480,6361.270,6361.570,6360.969,6361.369,0.00
1512114540,6361.269,6361.470,6361.069,6361.369,0.00
1512114600,6361.270,6361.470,6361.269,6361.270,0.00
1512114660,6361.070,6361.070,6360.070,6360.270,0.00
1512114720,6360.070,6360.470,6360.069,6360.369,0.00
1512114780,6360.069,6360.069,6359.869,6359.969,0.00
1512114840,6359.969,6359.969,6359.070,6359.470,0.00
1512114900,6359.370,6359.770,6359.370,6359.770,0.00
1512114960,6359.769,6360.470,6359.570,6360.470,0.00
1512115020,6360.570,6361.069,6360.569,6360.569,0.00
1512115080,6360.469,6360.870,6360.370,6360.870,0.00
1512115140,6360.970,6362.069,6360.970,6361.770,0.00
1512115200,6362.269,6362.269,6360.470,6361.669,0.01
1512115260,6361.569,6362.370,6361.369,6361.469,0.01
1512115320,6361.569,6361.870,6361.169,6361.369,0.00
1512115380,6361.269,6361.970,6360.969,6361.669,0.00
1512115440,6361.570,6362.069,6361.369,6361.370,0.00
1512115500,6361.470,6361.670,6360.069,6361.670,0.01
1512115560,6361.869,6362.470,6361.669,6361.970,0.00
1512115620,6362.069,6362.769,6361.869,6362.170,0.01
1512115680,6362.369,6362.969,6362.170,6362.570,0.01
1512115740,6362.670,6363.069,6362.070,6362.969,0.00
1512115800,6363.069,6363.070,6362.269,6362.269,0.00
1512115860,6362.369,6363.069,6361.770,6362.369,0.01
1512115920,6362.470,6362.570,6362.269,6362.369,0.00
1512115980,6362.270,6362.369,6361.769,6361.769,0.00
1512116040,6361.569,6361.569,6360.270,6360.470,0.00
1512116100,6360.470,6360.570,6359.570,6360.570,0.00
1512116160,6360.770,6360.870,6360.269,6360.370,0.00
1512116220,6360.270,6360.569,6359.770,6359.870,0.00
1512116280,6359.969,6360.370,6359.969,6360.369,0.00
1512116340,6360.270,6360.569,6359.869,6360.369,0.00
1512116400,6360.470,6360.570,6360.269,6360.270,0.00
1512116460,6360.369,6360.869,6359.969,6360.770,0.00
1512116520,6360.770,6360.970,6360.769,6360.870,0.00
1512116580,6360.970,6361.270,6360.770,6360.970,0.00
1512116640,6360.869,6361.069,6360.469,6360.470,0.00
1512116700,6360.570,6360.570,6359.470,6359.470,0.00
1512116760,6359.570,6360.270,6358.569,6359.069,0.00
1512116820,6358.869,6359.870,6358.669,6359.369,0.00
1512116880,6359.169,6359.970,6359.069,6359.669,0.00
1512116940,6359.569,6359.569,6358.869,6359.170,0.00
1512117000,6359.070,6359.169,6358.169,6358.170,0.00
1512117060,6358.369,6359.770,6358.169,6359.069,0.01
1512117120,6358.970,6359.069,6358.070,6358.070,0.00
1512117180,6357.869,6358.069,6356.369,6357.269,0.00
1512117240,6357.270,6357.270,6353.670,6354.169,0.01
1512117300,6354.470,6354.470,6351.570,6352.370,0.01
1512117360,6352.169,6353.470,6351.869,6351.869,0.01
1512117420,6351.769,6352.170,6351.069,6351.369,0.00
1512117480,6351.269,6351.570,6349.469,6349.470,0.01
1512117540,6349.569,6350.169,6348.570,6348.970,0.01
1512117600,6348.570,6348.669,6347.169,6347.270,0.00
1512117660,6347.169,6347.270,6345.969,6346.070,0.01
1512117720,6346.270,6347.270,6346.069,6346.169,0.01
1512117780,6346.669,6346.669,6341.469,6341.569,0.01
1512117840,6341.870,6343.970,6341.570,6343.970,0.01
1512117900,6343.869,6344.370,6342.969,6343.570,0.01
1512117960,6343.470,6343.870,6342.869,6343.570,0.01
1512118020,6343.669,6344.169,6342.969,6343.070,0.00
1512118080,6343.069,6344.070,6342.970,6343.569,0.00
1512118140,6343.469,6343.569,6341.569,6341.769,0.01
1512118200,6341.869,6341.869,6338.869,6338.869,0.01
1512118260,6338.969,6338.969,6337.070,6337.569,0.00
1512118320,6337.569,6338.869,6337.370,6338.569,0.00
1512118380,6338.470,6339.969,6337.770,6339.870,0.00
1512118440,6339.970,6340.570,6337.869,6338.669,0.01
1512118500,6338.270,6339.170,6337.969,6338.670,0.01
1512118560,6338.569,6341.070,6338.469,6340.869,0.01
1512118620,6340.770,6341.069,6338.969,6338.970,0.01
1512118680,6338.870,6339.970,6337.670,6339.570,0.01
1512118740,6339.669,6340.069,6338.969,6339.670,0.01
1512118800,6339.570,6339.570,6337.569,6337.669,0.01
1512118860,6337.870,6337.969,6333.569,6333.569,0.01
1512118920,6333.469,6336.770,6333.369,6334.970,0.01
1512118980,6335.070,6337.569,6334.969,6336.969,0.01
1512119040,6337.070,6337.469,6335.469,6337.269,0.00
1512119100,6334.469,6336.970,6333.570,6336.270,0.01
1512119160,6335.569,6336.370,6335.170,6335.470,0.01
1512119220,6335.370,6336.270,6335.169,6336.070,0.00
1512119280,6336.169,6338.170,6336.069,6336.369,0.01
1512119340,6336.470,6337.670,6335.169,6336.470,0.01
1512119400,6336.570,6339.869,6336.469,6339.470,0.01
1512119460,6339.269,6340.070,6338.570,6338.869,0.00
1512119520,6339.070,6339.770,6338.669,6339.370,0.00
1512119580,6339.469,6339.570,6338.669,6338.669,0.00
1512119640,6338.569,6338.970,6337.069,6338.570,0.01
1512119700,6338.569,6338.569,6336.570,6336.570,0.01
1512119760,6336.469,6336.870,6335.870,6336.569,0.01
1512119820,6337.070,6337.570,6334.869,6335.970,0.01
1512119880,6335.869,6335.970,6333.869,6334.670,0.01
1512119940,6334.570,6334.870,6331.869,6331.869,0.01
1512120000,6331.969,6331.969,6330.669,6330.969,0.01
1512120060,6331.069,6331.070,6329.870,6330.070,0.00
1512120120,6330.069,6330.369,6329.469,6330.270,0.01
1512120180,6330.369,6332.970,6330.369,6332.970,0.01
1512120240,6332.870,6333.370,6332.469,6332.570,0.01
1512120300,6332.769,6333.370,6331.069,6331.869,0.01
1512120360,6331.769,6332.569,6331.569,6332.569,0.00
1512120420,6332.870,6333.069,6330.569,6330.569,0.01
1512120480,6330.470,6330.870,6329.870,6330.870,0.00
1512120540,6331.070,6331.469,6330.069,6331.469,0.00
1512120600,6331.270,6332.869,6330.170,6332.869,0.01
1512120660,6333.070,6333.370,6332.070,6332.769,0.00
1512120720,6332.769,6333.070,6332.470,6332.870,0.01
1512120780,6332.769,6334.369,6332.570,6333.369,0.01
1512120840,6333.370,6334.969,6333.370,6334.869,0.01
1512120900,6334.970,6336.969,6334.969,6336.570,0.01
1512120960,6336.470,6337.769,6335.970,6337.769,0.00
1512121020,6337.570,6337.770,6334.969,6334.969,0.01
1512121080,6335.069,6335.469,6334.869,6334.870,0.00
1512121140,6334.770,6335.070,6333.769,6334.470,0.00
1512121200,6334.569,6334.569,6333.469,6333.869,0.00
1512121260,6333.970,6334.270,6333.570,6333.670,0.00
1512121320,6333.870,6334.469,6333.469,6334.070,0.00
1512121380,6333.869,6333.869,6331.869,6331.969,0.00
1512121440,6331.870,6333.770,6331.870,6333.770,0.00
1512121500,6333.870,6335.370,6333.870,6334.870,0.00
1512121560,6334.669,6335.570,6334.470,6335.170,0.01
1512121620,6335.369,6336.769,6335.369,6336.470,0.00
1512121680,6336.570,6339.369,6336.469,6338.170,0.01
1512121740,6338.070,6338.470,6337.669,6338.269,0.01
1512121800,6338.269,6338.269,6337.469,6337.469,0.00
1512121860,6337.369,6338.270,6337.169,6337.370,0.00
1512121920,6337.470,6337.870,6337.269,6337.670,0.00
1512121980,6337.569,6338.470,6336.170,6336.670,0.00
1512122040,6336.670,6336.670,6335.969,6336.369,0.00
1512122100,6336.470,6337.570,6336.470,6337.270,0.00
1512122160,6337.469,6337.970,6337.369,6337.670,0.00
1512122220,6338.069,6338.969,6338.069,6338.869,0.00
1512122280,6338.770,6340.770,6338.669,6339.769,0.00
1512122340,6339.769,6339.869,6337.869,6338.369,0.01
1512122400,6338.469,6338.869,6338.270,6338.570,0.00
1512122460,6338.470,6338.769,6337.070,6337.369,0.00
1512122520,6337.469,6338.570,6337.469,6337.470,0.00
1512122580,6337.369,6337.469,6336.969,6337.069,0.00
1512122640,6336.969,6337.270,6336.370,6336.469,0.00
1512122700,6336.570,6337.569,6336.470,6337.569,0.00
1512122760,6337.669,6338.870,6337.370,6337.570,0.00
1512122820,6337.669,6338.170,6337.570,6337.870,0.00
1512122880,6337.670,6337.670,6336.869,6337.469,0.01
1512122940,6337.570,6338.969,6337.569,6338.169,0.01
1512123000,6338.070,6338.370,6337.869,6338.070,0.00
1512123060,6337.970,6338.070,6337.369,6337.569,0.00
1512123120,6337.469,6337.570,6335.170,6336.869,0.01
1512123180,6336.970,6337.670,6336.870,6336.870,0.00
1512123240,6336.669,6336.970,6336.469,6336.669,0.00
1512123300,6336.570,6336.870,6336.369,6336.369,0.00
