time,open,high,low,close,volume
1701388800,1.35568,1.35569,1.35544,1.35544,53.68
1701388860,1.35548,1.35549,1.35546,1.35548,16.49
1701388920,1.35548,1.35548,1.35544,1.35544,33.46
1701388980,1.35545,1.35545,1.35532,1.35532,67.87
1701389040,1.35533,1.35541,1.35522,1.35523,62.35
1701389100,1.35522,1.35522,1.35512,1.35516,89.03
1701389160,1.35517,1.35521,1.35516,1.35519,71.17
1701389220,1.35520,1.35525,1.35517,1.35517,73.14
1701389280,1.35516,1.35521,1.35513,1.35515,49.86
1701389340,1.35516,1.35519,1.35512,1.35517,65.76
1701389400,1.35516,1.35518,1.35497,1.35508,108.36
1701389460,1.35508,1.35508,1.35500,1.35500,86.96
1701389520,1.35500,1.35502,1.35498,1.35500,55.68
1701389580,1.35498,1.35500,1.35494,1.35494,38.27
1701389640,1.35494,1.35497,1.35478,1.35479,81.20
1701389700,1.35477,1.35482,1.35476,1.35476,43.42
1701389760,1.35479,1.35479,1.35476,1.35478,16.65
1701389820,1.35479,1.35480,1.35476,1.35476,46.40
1701389880,1.35477,1.35480,1.35476,1.35480,31.64
1701389940,1.35479,1.35482,1.35477,1.35482,25.55
1701390000,1.35483,1.35486,1.35479,1.35480,15.30
1701390060,1.35479,1.35483,1.35476,1.35477,26.21
1701390120,1.35478,1.35478,1.35465,1.35466,42.12
1701390180,1.35468,1.35469,1.35462,1.35463,30.40
1701390240,1.35464,1.35464,1.35457,1.35457,35.95
1701390300,1.35457,1.35459,1.35455,1.35458,25.10
1701390360,1.35460,1.35460,1.35450,1.35452,33.95
1701390420,1.35453,1.35453,1.35450,1.35451,36.40
1701390480,1.35451,1.35454,1.35449,1.35454,49.05
1701390540,1.35453,1.35460,1.35450,1.35452,36.71
1701390600,1.35451,1.35454,1.35447,1.35454,36.00
1701390660,1.35453,1.35455,1.35453,1.35453,4.80
1701390720,1.35454,1.35454,1.35452,1.35453,6.00
1701390780,1.35451,1.35453,1.35433,1.35433,80.74
1701390840,1.35432,1.35436,1.35424,1.35429,75.30
1701390900,1.35428,1.35434,1.35424,1.35434,61.15
