time,open,high,low,close,volume
1622592000,0.89709,0.89709,0.89706,0.89707,8.75
1622592060,0.89706,0.89723,0.89706,0.89723,38.10
1622592120,0.89723,0.89730,0.89707,0.89707,72.36
1622592180,0.89709,0.89715,0.89704,0.89704,46.94
1622592240,0.89704,0.89713,0.89704,0.89708,41.84
1622592300,0.89709,0.89709,0.89705,0.89707,14.31
1622592360,0.89707,0.89707,0.89704,0.89704,55.62
1622592420,0.89704,0.89707,0.89701,0.89704,38.08
1622592480,0.89705,0.89706,0.89701,0.89706,34.59
1622592540,0.89707,0.89709,0.89690,0.89699,58.69
1622592600,0.89698,0.89708,0.89697,0.89705,19.95
1622592660,0.89704,0.89706,0.89704,0.89705,7.59
1622592720,0.89705,0.89706,0.89705,0.89706,11.56
1622592780,0.89705,0.89710,0.89705,0.89706,37.84
1622592840,0.89706,0.89706,0.89705,0.89705,16.37
1622592900,0.89705,0.89705,0.89696,0.89699,70.09
1622592960,0.89698,0.89698,0.89696,0.89698,44.49
1622593020,0.89696,0.89699,0.89694,0.89699,57.90
1622593080,0.89697,0.89699,0.89695,0.89698,51.91
1622593140,0.89697,0.89698,0.89691,0.89692,132.27
1622593200,0.89697,0.89698,0.89694,0.89694,41.96
1622593260,0.89694,0.89697,0.89687,0.89690,32.18
1622593320,0.89688,0.89689,0.89679,0.89682,35.31
1622593380,0.89681,0.89684,0.89680,0.89680,42.80
1622593440,0.89681,0.89682,0.89680,0.89681,38.07
1622593500,0.89681,0.89682,0.89677,0.89680,86.59
1622593560,0.89681,0.89681,0.89680,0.89680,68.34
1622593620,0.89680,0.89682,0.89680,0.89681,28.72
1622593680,0.89681,0.89682,0.89679,0.89681,275.30
1622593740,0.89680,0.89682,0.89680,0.89681,51.34
1622593800,0.89681,0.89682,0.89673,0.89673,46.15
1622593860,0.89673,0.89673,0.89671,0.89673,60.06
1622593920,0.89672,0.89673,0.89670,0.89672,125.36
1622593980,0.89672,0.89672,0.89669,0.89671,11.60
1622594040,0.89672,0.89672,0.89670,0.89672,6.91
1622594100,0.89671,0.89672,0.89671,0.89672,12.73
1622594160,0.89672,0.89674,0.89671,0.89672,30.44
1622594220,0.89671,0.89673,0.89669,0.89672,12.29
1622594280,0.89672,0.89675,0.89671,0.89675,26.03
1622594340,0.89674,0.89674,0.89673,0.89674,16.12
1622594400,0.89673,0.89675,0.89673,0.89673,12.39
1622594460,0.89674,0.89685,0.89673,0.89683,28.02
1622594520,0.89684,0.89684,0.89675,0.89675,32.97
1622594580,0.89674,0.89687,0.89674,0.89682,80.50
1622594640,0.89682,0.89684,0.89680,0.89682,59.77
1622594700,0.89684,0.89687,0.89684,0.89687,51.68
1622594760,0.89688,0.89702,0.89688,0.89694,137.62
1622594820,0.89695,0.89695,0.89690,0.89693,75.48
1622594880,0.89692,0.89693,0.89689,0.89691,90.55
1622594940,0.89691,0.89694,0.89681,0.89682,82.70
1622595000,0.89682,0.89689,0.89681,0.89682,120.00
1622595060,0.89681,0.89685,0.89679,0.89679,129.95
1622595120,0.89680,0.89692,0.89680,0.89690,254.89
1622595180,0.89691,0.89691,0.89689,0.89690,291.10
1622595240,0.89690,0.89698,0.89685,0.89696,137.08
1622595300,0.89699,0.89709,0.89698,0.89708,69.58
1622595360,0.89709,0.89720,0.89709,0.89720,84.59
1622595420,0.89720,0.89720,0.89713,0.89713,18.96
1622595480,0.89714,0.89715,0.89706,0.89706,35.55
1622595600,0.89705,0.89707,0.89689,0.89690,89.00
1622595660,0.89689,0.89689,0.89681,0.89682,41.82
1622595720,0.89682,0.89683,0.89679,0.89679,16.52
1622595780,0.89680,0.89691,0.89680,0.89690,62.71
1622595840,0.89689,0.89689,0.89682,0.89683,43.85
1622595900,0.89682,0.89683,0.89680,0.89680,36.06
1622595960,0.89683,0.89689,0.89681,0.89689,40.91
1622596020,0.89689,0.89690,0.89685,0.89688,33.29
1622596080,0.89688,0.89690,0.89686,0.89689,37.58
1622596140,0.89689,0.89689,0.89689,0.89689,4.30
1622596200,0.89689,0.89689,0.89689,0.89689,3.55
1622596260,0.89687,0.89690,0.89686,0.89689,32.48
1622596320,0.89689,0.89690,0.89689,0.89690,3.36
1622596380,0.89691,0.89705,0.89691,0.89701,45.48
1622596440,0.89701,0.89702,0.89695,0.89698,138.15
1622596500,0.89698,0.89698,0.89687,0.89688,53.20
1622596560,0.89688,0.89689,0.89685,0.89687,70.64
1622596620,0.89687,0.89689,0.89687,0.89688,18.44
1622596680,0.89688,0.89689,0.89680,0.89681,56.22
1622596740,0.89681,0.89681,0.89679,0.89679,8.26
1622596800,0.89680,0.89680,0.89680,0.89680,1.50
1622596860,0.89678,0.89679,0.89678,0.89679,18.04
1622596920,0.89681,0.89682,0.89681,0.89681,6.37
1622596980,0.89681,0.89683,0.89681,0.89681,9.69
1622597040,0.89680,0.89680,0.89680,0.89680,4.37
1622597100,0.89680,0.89680,0.89679,0.89679,11.50
1622597160,0.89681,0.89681,0.89670,0.89671,27.65
1622597220,0.89671,0.89672,0.89671,0.89672,12.65
1622597280,0.89673,0.89674,0.89673,0.89674,4.24
1622597340,0.89673,0.89675,0.89673,0.89675,9.74
1622597400,0.89676,0.89677,0.89671,0.89672,49.60
1622597460,0.89672,0.89673,0.89672,0.89672,25.81
1622597520,0.89672,0.89673,0.89666,0.89669,34.66
1622597580,0.89670,0.89688,0.89670,0.89684,87.83
1622597640,0.89685,0.89701,0.89685,0.89698,81.03
1622597700,0.89698,0.89701,0.89694,0.89699,76.37
1622597760,0.89700,0.89708,0.89700,0.89706,56.47
1622597820,0.89705,0.89707,0.89702,0.89705,48.92
1622597880,0.89704,0.89704,0.89698,0.89702,136.37
1622597940,0.89703,0.89707,0.89700,0.89702,157.95
1622598000,0.89703,0.89706,0.89698,0.89702,252.44
1622598060,0.89702,0.89702,0.89695,0.89695,172.63
1622598120,0.89693,0.89697,0.89689,0.89690,112.84
1622598180,0.89690,0.89697,0.89689,0.89690,187.94
1622598240,0.89691,0.89691,0.89688,0.89690,148.88
1622598300,0.89690,0.89690,0.89681,0.89681,99.07
1622598360,0.89682,0.89687,0.89681,0.89683,300.38
1622598420,0.89683,0.89687,0.89679,0.89683,105.66
1622598480,0.89683,0.89685,0.89681,0.89681,172.65
1622598540,0.89681,0.89684,0.89678,0.89681,252.47
1622598600,0.89681,0.89683,0.89678,0.89680,71.86
1622598660,0.89682,0.89690,0.89681,0.89690,158.77
1622598720,0.89689,0.89701,0.89689,0.89699,148.37
1622598780,0.89698,0.89700,0.89696,0.89699,75.29
1622598840,0.89699,0.89702,0.89698,0.89700,186.03
1622598900,0.89700,0.89701,0.89690,0.89691,66.02
1622598960,0.89691,0.89703,0.89690,0.89701,131.02
1622599020,0.89699,0.89708,0.89699,0.89706,89.16
1622599080,0.89706,0.89716,0.89706,0.89715,49.08
1622599140,0.89714,0.89721,0.89714,0.89720,42.33
1622599200,0.89721,0.89731,0.89718,0.89731,195.81
1622599260,0.89730,0.89733,0.89729,0.89730,71.23
1622599320,0.89730,0.89731,0.89729,0.89731,67.91
1622599380,0.89731,0.89734,0.89729,0.89730,202.86
1622599440,0.89731,0.89737,0.89729,0.89729,86.33
1622599500,0.89731,0.89733,0.89723,0.89726,58.25
1622599560,0.89726,0.89734,0.89725,0.89731,85.15
1622599620,0.89732,0.89732,0.89729,0.89731,66.19
1622599680,0.89730,0.89732,0.89724,0.89724,46.66
1622599740,0.89724,0.89731,0.89724,0.89730,41.39
1622599800,0.89731,0.89733,0.89730,0.89732,58.88
1622599860,0.89730,0.89731,0.89727,0.89729,53.39
1622599920,0.89729,0.89732,0.89728,0.89730,159.01
1622599980,0.89731,0.89732,0.89726,0.89730,124.29
1622600040,0.89730,0.89731,0.89729,0.89729,73.88
1622600100,0.89730,0.89732,0.89728,0.89730,270.86
1622600160,0.89730,0.89732,0.89728,0.89729,249.22
1622600220,0.89729,0.89730,0.89729,0.89729,11.79
1622600280,0.89730,0.89731,0.89728,0.89730,88.51
1622600340,0.89731,0.89732,0.89728,0.89730,74.36
1622600400,0.89729,0.89731,0.89718,0.89718,91.01
1622600460,0.89720,0.89722,0.89709,0.89713,242.72
1622600520,0.89714,0.89714,0.89710,0.89711,107.43
1622600580,0.89711,0.89713,0.89710,0.89712,54.18
1622600640,0.89712,0.89712,0.89701,0.89701,75.23
1622600700,0.89703,0.89704,0.89697,0.89700,71.01
1622600760,0.89699,0.89701,0.89697,0.89699,163.70
1622600820,0.89699,0.89707,0.89699,0.89707,33.85
1622600880,0.89707,0.89707,0.89705,0.89705,95.70
1622600940,0.89707,0.89707,0.89699,0.89705,112.54
1622601000,0.89705,0.89706,0.89698,0.89698,129.33
1622601060,0.89698,0.89700,0.89694,0.89698,138.81
1622601120,0.89700,0.89700,0.89694,0.89694,36.52
1622601180,0.89695,0.89697,0.89694,0.89695,44.08
1622601240,0.89694,0.89694,0.89689,0.89690,27.38
1622601300,0.89690,0.89693,0.89688,0.89692,277.91
1622601360,0.89691,0.89693,0.89689,0.89691,248.16
1622601420,0.89690,0.89692,0.89681,0.89683,110.27
1622601480,0.89686,0.89691,0.89686,0.89689,31.27
1622601540,0.89689,0.89691,0.89688,0.89689,34.70
1622601600,0.89690,0.89692,0.89689,0.89690,87.06
1622601660,0.89691,0.89701,0.89690,0.89699,114.68
1622601720,0.89699,0.89699,0.89693,0.89698,70.42
1622601780,0.89699,0.89701,0.89697,0.89698,110.93
1622601840,0.89699,0.89700,0.89697,0.89700,48.35
1622601900,0.89700,0.89700,0.89699,0.89699,60.29
1622601960,0.89700,0.89700,0.89698,0.89699,147.49
1622602020,0.89701,0.89701,0.89691,0.89691,64.70
1622602080,0.89690,0.89693,0.89690,0.89691,82.22
1622602140,0.89691,0.89692,0.89690,0.89692,217.57
1622602200,0.89690,0.89692,0.89690,0.89691,193.31
1622602260,0.89692,0.89694,0.89690,0.89694,34.17
1622602320,0.89696,0.89699,0.89693,0.89699,38.15
1622602380,0.89698,0.89701,0.89698,0.89699,36.59
1622602440,0.89699,0.89702,0.89698,0.89699,119.16
1622602500,0.89699,0.89702,0.89699,0.89700,104.71
1622602560,0.89701,0.89704,0.89699,0.89699,84.48
1622602620,0.89699,0.89701,0.89699,0.89700,93.89
1622602680,0.89699,0.89701,0.89698,0.89700,250.61
1622602740,0.89701,0.89703,0.89699,0.89700,94.69
1622602800,0.89700,0.89701,0.89690,0.89700,66.59
1622602860,0.89699,0.89700,0.89694,0.89699,67.55
1622602920,0.89699,0.89700,0.89698,0.89700,125.05
1622602980,0.89699,0.89701,0.89699,0.89700,100.33
1622603040,0.89699,0.89700,0.89699,0.89699,30.63
1622603100,0.89700,0.89700,0.89697,0.89700,20.38
1622603160,0.89699,0.89699,0.89697,0.89698,44.63
1622603220,0.89699,0.89700,0.89697,0.89699,176.89
1622603280,0.89698,0.89699,0.89691,0.89691,79.54
1622603340,0.89692,0.89695,0.89691,0.89693,111.07
1622603400,0.89692,0.89697,0.89692,0.89693,32.51
1622603460,0.89694,0.89702,0.89688,0.89698,160.37
1622603520,0.89698,0.89700,0.89697,0.89699,261.06
1622603580,0.89698,0.89705,0.89692,0.89705,179.05
1622603640,0.89705,0.89711,0.89701,0.89704,246.10
1622603700,0.89704,0.89704,0.89701,0.89702,9.39
1622603760,0.89702,0.89702,0.89697,0.89697,81.08
1622603820,0.89696,0.89698,0.89693,0.89698,42.51
1622603880,0.89696,0.89699,0.89695,0.89698,22.46
1622603940,0.89697,0.89699,0.89697,0.89699,106.15
1622604000,0.89699,0.89700,0.89689,0.89690,34.55
1622604060,0.89689,0.89690,0.89688,0.89689,59.90
1622604120,0.89690,0.89691,0.89688,0.89689,198.56
1622604180,0.89689,0.89690,0.89688,0.89689,495.12
1622604240,0.89689,0.89689,0.89688,0.89689,154.42
1622604300,0.89691,0.89696,0.89690,0.89690,146.73
1622604360,0.89690,0.89701,0.89690,0.89699,279.80
1622604420,0.89700,0.89704,0.89697,0.89704,276.45
1622604480,0.89701,0.89701,0.89697,0.89698,247.54
1622604540,0.89698,0.89699,0.89697,0.89698,48.49
1622604600,0.89696,0.89698,0.89696,0.89698,7.84
1622604660,0.89699,0.89699,0.89697,0.89699,133.54
1622604720,0.89700,0.89705,0.89698,0.89704,46.98
1622604780,0.89705,0.89706,0.89702,0.89705,35.61
1622604840,0.89703,0.89707,0.89703,0.89704,28.19
1622604900,0.89705,0.89705,0.89704,0.89704,22.52
1622604960,0.89703,0.89705,0.89701,0.89702,44.86
1622605020,0.89702,0.89705,0.89697,0.89701,310.83
1622605080,0.89700,0.89701,0.89696,0.89697,78.52
1622605140,0.89697,0.89699,0.89695,0.89698,70.26
1622605200,0.89697,0.89700,0.89696,0.89699,96.24
1622605260,0.89697,0.89698,0.89697,0.89698,31.74
1622605320,0.89698,0.89699,0.89697,0.89698,158.68
1622605380,0.89698,0.89698,0.89697,0.89698,43.16
1622605440,0.89698,0.89705,0.89697,0.89703,41.77
1622605500,0.89703,0.89703,0.89699,0.89699,86.57
1622605560,0.89699,0.89705,0.89699,0.89702,30.57
1622605620,0.89706,0.89706,0.89703,0.89705,35.50
1622605680,0.89705,0.89705,0.89704,0.89704,4.26
1622605800,0.89704,0.89705,0.89704,0.89704,17.67
1622605860,0.89702,0.89706,0.89702,0.89705,36.94
1622605920,0.89704,0.89706,0.89704,0.89705,29.63
1622605980,0.89705,0.89710,0.89704,0.89706,67.41
1622606040,0.89705,0.89706,0.89704,0.89704,8.44
1622606100,0.89704,0.89707,0.89704,0.89705,10.27
1622606160,0.89704,0.89706,0.89703,0.89704,19.77
1622606220,0.89704,0.89706,0.89702,0.89705,47.17
1622606280,0.89706,0.89707,0.89700,0.89702,66.26
1622606340,0.89703,0.89706,0.89701,0.89702,40.70
1622606400,0.89702,0.89706,0.89702,0.89705,40.18
1622606460,0.89705,0.89713,0.89705,0.89713,69.42
1622606520,0.89712,0.89715,0.89710,0.89711,43.59
1622606580,0.89711,0.89711,0.89710,0.89711,18.63
1622606640,0.89710,0.89711,0.89710,0.89710,20.38
1622606700,0.89709,0.89713,0.89709,0.89713,41.51
1622606760,0.89713,0.89716,0.89712,0.89715,30.84
1622606820,0.89715,0.89722,0.89715,0.89719,43.17
1622606880,0.89721,0.89722,0.89720,0.89720,86.55
1622606940,0.89718,0.89720,0.89714,0.89720,40.41
1622607000,0.89721,0.89721,0.89720,0.89720,31.00
1622607060,0.89719,0.89721,0.89719,0.89720,16.52
1622607120,0.89721,0.89722,0.89720,0.89722,14.57
1622607180,0.89722,0.89722,0.89719,0.89720,18.40
1622607240,0.89720,0.89720,0.89714,0.89714,49.47
1622607300,0.89714,0.89716,0.89712,0.89713,21.70
1622607360,0.89713,0.89719,0.89713,0.89714,28.70
1622607420,0.89714,0.89715,0.89711,0.89713,16.59
1622607480,0.89713,0.89722,0.89713,0.89722,88.15
1622607540,0.89721,0.89722,0.89720,0.89721,199.07
1622607600,0.89721,0.89722,0.89720,0.89721,189.98
1622607660,0.89721,0.89724,0.89720,0.89720,277.84
1622607720,0.89720,0.89721,0.89719,0.89719,46.25
1622607780,0.89718,0.89718,0.89718,0.89718,2.25
1622607840,0.89715,0.89720,0.89715,0.89719,27.81
1622607900,0.89718,0.89721,0.89718,0.89720,20.85
1622607960,0.89720,0.89727,0.89719,0.89726,110.43
1622608020,0.89726,0.89729,0.89726,0.89729,20.80
1622608080,0.89729,0.89729,0.89723,0.89729,150.77
1622608140,0.89728,0.89728,0.89726,0.89726,28.27
1622608200,0.89726,0.89727,0.89725,0.89725,19.56
1622608260,0.89727,0.89732,0.89726,0.89732,50.88
1622608320,0.89731,0.89731,0.89719,0.89719,47.09
1622608380,0.89720,0.89721,0.89719,0.89721,210.91
1622608440,0.89720,0.89727,0.89715,0.89715,134.67
1622608500,0.89714,0.89714,0.89710,0.89711,242.80
1622608560,0.89710,0.89712,0.89710,0.89712,47.40
1622608620,0.89712,0.89719,0.89710,0.89719,79.57
1622608680,0.89720,0.89721,0.89720,0.89720,25.79
1622608740,0.89721,0.89721,0.89718,0.89718,24.96
1622608800,0.89720,0.89721,0.89719,0.89719,9.16
