time,open,high,low,close,volume
1638316800,113.300,113.309,113.262,113.265,302.90
1638316860,113.265,113.321,113.265,113.312,257.21
1638316920,113.312,113.312,113.186,113.193,558.42
1638316980,113.194,113.216,113.190,113.210,180.32
1638317040,113.209,113.247,113.209,113.238,223.75
1638317100,113.238,113.261,113.229,113.258,174.74
1638317160,113.258,113.293,113.247,113.247,238.42
1638317220,113.246,113.262,113.236,113.236,120.61
1638317280,113.243,113.246,113.233,113.239,210.45
1638317340,113.245,113.253,113.210,113.210,162.07
1638317400,113.211,113.241,113.211,113.240,93.06
1638317460,113.240,113.247,113.225,113.232,148.48
1638317520,113.234,113.250,113.225,113.225,143.97
1638317580,113.225,113.225,113.185,113.187,163.18
1638317640,113.187,113.209,113.183,113.187,132.97
1638317700,113.186,113.196,113.166,113.194,167.80
1638317760,113.193,113.194,113.155,113.156,195.61
1638317820,113.160,113.167,113.144,113.147,157.17
1638317880,113.146,113.148,113.144,113.144,66.98
1638317940,113.144,113.144,113.101,113.122,247.02
1638318000,113.122,113.147,113.120,113.145,241.57
1638318060,113.146,113.152,113.129,113.131,224.69
1638318120,113.130,113.139,113.105,113.129,214.77
1638318180,113.129,113.147,113.129,113.146,126.15
1638318240,113.144,113.200,113.144,113.200,156.79
1638318300,113.199,113.200,113.176,113.189,108.34
1638318360,113.188,113.188,113.163,113.164,107.22
1638318420,113.165,113.196,113.165,113.196,86.20
1638318480,113.195,113.201,113.187,113.190,76.81
1638318540,113.189,113.197,113.178,113.180,59.75
1638318600,113.179,113.228,113.177,113.212,260.18
1638318660,113.213,113.230,113.211,113.225,139.21
1638318720,113.223,113.239,113.209,113.239,191.10
1638318780,113.238,113.249,113.222,113.249,216.83
1638318840,113.249,113.251,113.224,113.232,218.55
1638318900,113.232,113.233,113.213,113.222,187.21
1638318960,113.220,113.227,113.205,113.211,192.12
1638319020,113.211,113.227,113.198,113.208,205.66
1638319080,113.209,113.213,113.190,113.190,77.02
1638319140,113.191,113.236,113.191,113.233,127.04
1638319200,113.236,113.255,113.229,113.253,137.05
1638319260,113.257,113.272,113.251,113.253,113.25
1638319320,113.257,113.266,113.250,113.251,110.25
1638319380,113.251,113.270,113.246,113.261,125.04
1638319440,113.261,113.265,113.245,113.253,95.61
1638319500,113.253,113.255,113.233,113.233,99.98
1638319560,113.233,113.255,113.220,113.252,126.49
1638319620,113.253,113.282,113.253,113.261,117.97
1638319680,113.260,113.263,113.220,113.225,217.35
1638319740,113.223,113.244,113.221,113.244,139.95
1638319800,113.243,113.256,113.243,113.250,113.70
1638319860,113.251,113.254,113.222,113.222,136.59
1638319920,113.223,113.232,113.193,113.211,203.72
1638319980,113.210,113.231,113.203,113.208,199.20
1638320040,113.206,113.278,113.204,113.268,519.87
1638320100,113.266,113.303,113.250,113.293,425.38
1638320160,113.295,113.295,113.263,113.269,217.54
1638320220,113.267,113.295,113.259,113.295,190.05
1638320280,113.295,113.295,113.250,113.251,177.74
1638320340,113.251,113.262,113.241,113.241,126.40
1638320400,113.242,113.243,113.215,113.232,245.04
1638320460,113.230,113.238,113.213,113.214,138.38
1638320520,113.214,113.258,113.213,113.246,219.39
1638320580,113.246,113.259,113.240,113.249,179.84
1638320640,113.252,113.285,113.252,113.279,224.19
1638320700,113.281,113.320,113.273,113.320,350.82
1638320760,113.320,113.373,113.320,113.335,504.78
1638320820,113.335,113.354,113.334,113.354,231.44
1638320880,113.354,113.380,113.353,113.366,324.86
1638320940,113.366,113.384,113.354,113.366,306.77
1638321000,113.366,113.395,113.359,113.386,304.89
1638321060,113.386,113.440,113.386,113.415,289.14
1638321120,113.417,113.440,113.415,113.433,253.90
1638321180,113.433,113.433,113.397,113.407,180.98
1638321240,113.408,113.417,113.393,113.393,223.44
1638321300,113.390,113.401,113.383,113.387,246.98
1638321360,113.386,113.436,113.382,113.432,267.45
1638321420,113.432,113.444,113.418,113.421,191.86
1638321480,113.420,113.422,113.408,113.408,127.41
1638321540,113.406,113.437,113.406,113.436,213.92
1638321600,113.436,113.446,113.408,113.442,361.25
1638321660,113.443,113.447,113.422,113.425,194.72
1638321720,113.427,113.428,113.407,113.418,177.73
1638321780,113.423,113.429,113.410,113.423,137.57
1638321840,113.427,113.433,113.403,113.418,204.95
1638321900,113.416,113.435,113.410,113.411,212.97
1638321960,113.410,113.440,113.409,113.438,63.43
1638322020,113.439,113.450,113.436,113.446,129.31
1638322080,113.446,113.446,113.420,113.423,134.30
1638322140,113.425,113.433,113.419,113.427,135.16
1638322200,113.427,113.434,113.408,113.434,94.15
1638322260,113.434,113.434,113.416,113.420,95.38
1638322320,113.420,113.437,113.409,113.415,119.27
1638322380,113.413,113.422,113.402,113.420,111.71
1638322440,113.419,113.438,113.393,113.396,155.32
1638322500,113.396,113.421,113.393,113.413,98.55
1638322560,113.413,113.419,113.413,113.419,36.40
