time,open,high,low,close,volume
1675209600,23.667,23.667,23.663,23.664,0.10
1675209660,23.663,23.665,23.658,23.663,0.13
1675209720,23.660,23.662,23.652,23.662,0.39
1675209780,23.660,23.672,23.657,23.670,0.65
1675209840,23.669,23.671,23.655,23.655,0.44
1675209900,23.657,23.667,23.649,23.659,2.58
1675209960,23.664,23.664,23.652,23.664,0.86
1675210020,23.659,23.665,23.654,23.657,1.21
1675210080,23.663,23.664,23.663,23.664,0.04
1675210140,23.665,23.666,23.657,23.665,1.22
1675210200,23.663,23.665,23.651,23.657,2.17
1675210260,23.658,23.662,23.646,23.652,2.26
1675210320,23.642,23.649,23.635,23.645,1.32
1675210380,23.636,23.647,23.634,23.636,2.75
1675210440,23.645,23.647,23.635,23.636,2.97
1675210500,23.637,23.652,23.635,23.644,3.63
1675210560,23.644,23.646,23.632,23.634,3.90
1675210620,23.645,23.645,23.629,23.639,1.34
1675210680,23.639,23.641,23.629,23.640,0.53
1675210740,23.639,23.639,23.623,23.634,1.09
1675210800,23.636,23.637,23.624,23.626,1.22
1675210860,23.637,23.637,23.626,23.637,1.34
1675210920,23.626,23.637,23.626,23.635,0.44
1675210980,23.626,23.637,23.626,23.626,2.14
1675211040,23.637,23.649,23.631,23.639,1.31
1675211100,23.645,23.649,23.635,23.635,0.99
1675211160,23.648,23.650,23.635,23.635,0.68
1675211220,23.645,23.648,23.634,23.645,0.69
1675211280,23.637,23.654,23.637,23.649,2.48
1675211340,23.653,23.659,23.640,23.647,3.56
1675211400,23.648,23.664,23.645,23.664,2.91
1675211460,23.664,23.669,23.653,23.665,4.34
1675211520,23.669,23.669,23.654,23.655,3.66
1675211580,23.654,23.665,23.654,23.664,0.96
1675211640,23.654,23.669,23.654,23.663,3.61
1675211700,23.670,23.670,23.654,23.658,3.97
1675211760,23.653,23.667,23.649,23.660,2.21
1675211820,23.659,23.659,23.654,23.654,0.05
1675211880,23.644,23.654,23.638,23.644,2.02
1675211940,23.657,23.660,23.648,23.660,0.37
1675212000,23.656,23.659,23.641,23.652,2.37
1675212060,23.650,23.650,23.640,23.644,0.32
1675212120,23.649,23.649,23.635,23.643,1.18
1675212180,23.650,23.660,23.643,23.659,2.36
1675212240,23.655,23.659,23.645,23.657,1.26
1675212300,23.656,23.663,23.644,23.649,2.47
1675212360,23.656,23.658,23.645,23.645,1.18
1675212420,23.657,23.662,23.648,23.649,0.78
1675212480,23.654,23.654,23.630,23.639,1.43
1675212540,23.636,23.644,23.624,23.639,1.99
