time,open,high,low,close,volume
1672700400,1826.837,1827.337,1826.617,1826.637,0.02
1672700460,1826.537,1827.357,1826.137,1826.537,0.02
1672700520,1826.137,1826.737,1826.137,1826.737,0.00
1672700700,1827.187,1828.867,1827.187,1828.738,0.04
1672700760,1828.758,1829.958,1828.758,1829.497,0.06
1672700820,1829.497,1829.507,1828.117,1829.397,0.07
1672700880,1829.357,1829.357,1828.718,1829.277,0.02
1672700940,1829.277,1829.488,1828.757,1829.298,0.01
1672701000,1829.437,1829.617,1828.115,1828.477,0.03
1672701060,1828.477,1828.577,1827.507,1827.527,0.05
1672701120,1827.527,1827.627,1826.927,1827.317,0.07
1672701180,1827.317,1827.607,1827.177,1827.177,0.04
1672701240,1827.167,1827.167,1825.967,1826.217,0.15
1672701300,1826.197,1826.207,1825.187,1825.317,0.08
1672701360,1825.317,1825.347,1824.367,1824.397,0.10
1672701420,1824.367,1824.387,1823.638,1824.007,0.10
1672701480,1824.027,1824.047,1823.287,1823.967,0.14
1672701540,1823.957,1824.377,1823.897,1824.258,0.07
1672701600,1824.258,1825.565,1824.257,1825.325,0.03
1672701660,1825.325,1825.475,1825.215,1825.315,0.01
1672701720,1825.295,1825.295,1824.825,1825.005,0.01
1672701780,1825.005,1825.215,1824.925,1825.215,0.02
1672701840,1825.215,1826.075,1825.145,1826.065,0.02
1672701900,1826.078,1826.875,1826.078,1826.715,0.01
1672701960,1826.688,1827.215,1826.515,1827.205,0.01
1672702020,1827.335,1827.835,1826.695,1827.385,0.01
1672702080,1827.395,1828.997,1827.255,1828.887,0.03
1672702140,1828.887,1828.917,1827.735,1827.847,0.04
1672702200,1827.807,1828.028,1827.308,1827.418,0.06
1672702260,1827.508,1828.067,1827.505,1827.518,0.03
1672702320,1827.508,1828.107,1827.508,1827.695,0.02
1672702380,1827.715,1827.715,1827.208,1827.395,0.02
1672702440,1827.445,1827.617,1827.445,1827.555,0.00
1672702500,1827.565,1827.565,1827.008,1827.148,0.02
1672702560,1827.248,1827.548,1827.148,1827.415,0.01
1672702620,1827.415,1827.435,1826.965,1827.135,0.01
1672702680,1827.115,1827.248,1826.975,1827.195,0.01
1672702740,1827.205,1827.727,1827.205,1827.595,0.01
1672702800,1827.615,1827.725,1827.585,1827.725,0.01
1672702860,1827.745,1827.957,1827.715,1827.807,0.02
1672702920,1827.815,1828.347,1827.787,1828.297,0.02
1672702980,1828.297,1828.307,1827.535,1827.987,0.02
1672703040,1828.005,1828.015,1827.705,1827.735,0.02
1672703100,1827.715,1827.947,1827.618,1827.858,0.02
1672703160,1827.825,1828.085,1827.755,1828.085,0.02
1672703220,1828.095,1828.415,1828.045,1828.135,0.01
1672703280,1828.137,1828.155,1827.625,1828.155,0.01
1672703340,1828.168,1828.225,1828.025,1828.045,0.00
1672703400,1828.008,1828.008,1827.668,1827.845,0.01
1672703460,1827.825,1828.415,1827.815,1828.245,0.01
1672703520,1828.235,1828.335,1827.925,1828.285,0.00
1672703580,1828.305,1828.435,1828.235,1828.245,0.01
1672703640,1828.205,1828.375,1828.165,1828.165,0.00
1672703700,1828.128,1828.335,1828.095,1828.245,0.01
1672703760,1828.225,1828.448,1828.035,1828.448,0.01
1672703820,1828.448,1828.748,1828.375,1828.675,0.01
1672703880,1828.668,1829.048,1828.668,1829.048,0.00
1672703940,1829.068,1829.305,1829.035,1829.295,0.01
1672704000,1829.285,1829.635,1828.985,1829.005,0.01
1672704060,1828.995,1828.995,1828.705,1828.735,0.01
1672704120,1828.755,1829.405,1828.755,1829.085,0.01
1672704180,1829.095,1829.465,1829.065,1829.445,0.01
1672704240,1829.445,1829.455,1829.335,1829.365,0.01
1672704300,1829.395,1829.745,1829.335,1829.725,0.01
1672704360,1829.735,1829.995,1829.735,1829.735,0.01
1672704420,1829.705,1829.895,1829.555,1829.625,0.01
1672704480,1829.605,1829.805,1829.495,1829.765,0.01
1672704540,1829.775,1829.845,1829.665,1829.815,0.01
1672704600,1829.825,1830.425,1829.755,1830.195,0.02
1672704660,1830.205,1830.545,1830.035,1830.535,0.01
1672704720,1830.545,1830.908,1830.355,1830.445,0.02
1672704780,1830.435,1831.195,1829.985,1831.195,0.02
